RefId,IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost
1,0,12/7/2009,ADESA,2006,3,MAZDA,MAZDA3,i,4D SEDAN I,RED,AUTO,1.0,Alloy,89046,OTHER ASIAN,MEDIUM,OTHER,8155.0,9829.0,11636.0,13600.0,7451.0,8552.0,11597.0,12409.0,,,21973,33619,FL,7100.0,0,1113
2,0,12/7/2009,ADESA,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 4.7L SLT,WHITE,AUTO,1.0,Alloy,93593,AMERICAN,LARGE TRUCK,CHRYSLER,6854.0,8383.0,10897.0,12572.0,7456.0,9222.0,11374.0,12791.0,,,19638,33619,FL,7600.0,0,1053
3,0,12/7/2009,ADESA,2005,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT FFV,MAROON,AUTO,2.0,Covers,73807,AMERICAN,MEDIUM,CHRYSLER,3202.0,4760.0,6943.0,8457.0,4035.0,5557.0,7146.0,8702.0,,,19638,33619,FL,4900.0,0,1389
4,0,12/7/2009,ADESA,2004,5,DODGE,NEON,SXT,4D SEDAN,SILVER,AUTO,1.0,Alloy,65617,AMERICAN,COMPACT,CHRYSLER,1893.0,2675.0,4658.0,5690.0,1844.0,2646.0,4375.0,5518.0,,,19638,33619,FL,4100.0,0,630
5,0,12/7/2009,ADESA,2005,4,FORD,FOCUS,ZX3,2D COUPE ZX3,SILVER,MANUAL,2.0,Covers,69367,AMERICAN,COMPACT,FORD,3913.0,5054.0,7723.0,8707.0,3247.0,4384.0,6739.0,7911.0,,,19638,33619,FL,4000.0,0,1020
6,0,12/7/2009,ADESA,2004,5,MITSUBISHI,GALANT 4C,ES,4D SEDAN ES,WHITE,AUTO,2.0,Covers,81054,OTHER ASIAN,MEDIUM,OTHER,3901.0,4908.0,6706.0,8577.0,4709.0,5827.0,8149.0,9451.0,,,19638,33619,FL,5600.0,0,594
7,0,12/7/2009,ADESA,2004,5,KIA,SPECTRA,EX,4D SEDAN EX,BLACK,AUTO,2.0,Covers,65328,OTHER ASIAN,MEDIUM,OTHER,2966.0,4038.0,6240.0,8496.0,2980.0,4115.0,6230.0,8603.0,,,19638,33619,FL,4200.0,0,533
9,0,12/7/2009,ADESA,2007,2,KIA,SPECTRA,EX,4D SEDAN EX,BLACK,AUTO,2.0,Covers,49921,OTHER ASIAN,MEDIUM,OTHER,6196.0,7274.0,9687.0,10624.0,6417.0,7371.0,9637.0,10778.0,,,21973,33619,FL,5600.0,0,482
10,0,12/7/2009,ADESA,2007,2,FORD,FIVE HUNDRED,SEL,4D SEDAN SEL,RED,AUTO,1.0,Alloy,84872,AMERICAN,LARGE,FORD,7845.0,9752.0,11734.0,13656.0,9167.0,10988.0,12580.0,14845.0,,,21973,33619,FL,7700.0,0,1633
11,0,12/14/2009,ADESA,2005,4,GMC,1500 SIERRA PICKUP 2,SLE,REG CAB 4.3L,SILVER,AUTO,1.0,Alloy,80080,AMERICAN,LARGE TRUCK,GM,5243.0,6627.0,8848.0,10458.0,5712.0,7552.0,9494.0,11663.0,,,5546,33619,FL,5500.0,0,1373
12,0,12/14/2009,ADESA,2001,8,FORD,F150 PICKUP 2WD V6,XL,REG CAB 4.2L XL,WHITE,MANUAL,1.0,Alloy,75419,AMERICAN,LARGE TRUCK,FORD,3168.0,4320.0,5826.0,6762.0,2871.0,3822.0,5734.0,6559.0,,,5546,33619,FL,5300.0,0,869
13,1,12/14/2009,ADESA,2005,4,DODGE,CARAVAN GRAND FWD V6,SE,MINIVAN 3.3L,RED,AUTO,1.0,Alloy,79315,AMERICAN,VAN,CHRYSLER,4225.0,5380.0,7910.0,10108.0,4807.0,6077.0,8523.0,10124.0,,,19638,33619,FL,5400.0,0,1623
14,0,12/14/2009,ADESA,2005,4,NISSAN,ALTIMA,Bas,4D SEDAN,WHITE,AUTO,2.0,Covers,71254,TOP LINE ASIAN,MEDIUM,OTHER,5684.0,6921.0,8976.0,10789.0,5976.0,7190.0,9374.0,10780.0,,,19638,33619,FL,7800.0,0,686
17,0,12/14/2009,ADESA,2005,4,CHEVROLET,TRAILBLAZER 2WD 6C,LS,4D SUV 4.2L,WHITE,AUTO,1.0,Alloy,80736,AMERICAN,MEDIUM SUV,GM,6742.0,7951.0,11068.0,12885.0,7670.0,9159.0,12596.0,15041.0,,,19638,33619,FL,6800.0,0,1243
18,0,12/14/2009,ADESA,2003,6,SATURN,VUE 2WD 4C,,4D CUV 2.2L,RED,AUTO,2.0,Covers,75156,AMERICAN,MEDIUM SUV,GM,2756.0,3475.0,5835.0,6925.0,3513.0,4572.0,7195.0,9364.0,,,5546,33619,FL,4900.0,0,1923
19,0,12/14/2009,ADESA,2005,4,CHEVROLET,IMPALA,Bas,4D SEDAN,GREY,AUTO,2.0,Covers,65925,AMERICAN,LARGE,GM,3983.0,5244.0,7316.0,9194.0,4107.0,5191.0,7638.0,8800.0,,,19638,33619,FL,5700.0,0,1703
20,0,12/14/2009,ADESA,2004,5,GMC,ENVOY XL 2WD 6C,SLE,4D UTILITY 4.2L SLE,BLACK,AUTO,1.0,Alloy,84498,AMERICAN,MEDIUM SUV,GM,7347.0,8845.0,11092.0,13052.0,7436.0,8766.0,11367.0,12609.0,,,19638,33619,FL,7100.0,0,1243
21,0,12/14/2009,ADESA,2002,7,CHRYSLER,VOYAGER FWD V6,Bas,MINIVAN 3.3L,BLUE,AUTO,2.0,Covers,54586,AMERICAN,VAN,CHRYSLER,2139.0,3106.0,5072.0,6424.0,3307.0,4388.0,6228.0,7413.0,,,19638,33619,FL,4800.0,0,1551
22,0,12/14/2009,ADESA,2002,7,CHEVROLET,MONTE CARLO,SS,2D COUPE SS,WHITE,AUTO,1.0,Alloy,66536,AMERICAN,LARGE,GM,3522.0,4791.0,7689.0,10460.0,4403.0,5629.0,7512.0,8975.0,,,5546,33619,FL,5800.0,0,2003
23,0,12/21/2009,ADESA,2004,5,CHEVROLET,VENTURE FWD V6,LS,PASSENGER 3.4L,SILVER,AUTO,2.0,Covers,98130,AMERICAN,VAN,GM,2290.0,3818.0,5646.0,7427.0,2446.0,3542.0,5999.0,8687.0,,,5546,33619,FL,4100.0,0,5613
